 ,Label,Area,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
45,,0.011,0.638,0.146,5.891,1.951,126.158,0.116,1.283,0.78,0.907
89,,0.008,0.708,0.146,3.708,2.364,115.769,0.076,2.049,0.488,0.906
91,,0.01,0.746,0.146,7.72,2.46,36.158,0.097,1.385,0.722,0.927
92,,0.009,0.772,0.146,3.118,2.387,115.769,0.085,1.74,0.575,0.904
232,,0.009,0.778,0.146,4.089,3.34,97.125,0.082,1.794,0.557,0.93
272,,0.008,0.703,0.146,7.311,3.585,126.158,0.072,2.179,0.459,0.897
328,,0.009,0.768,0.146,7.62,3.971,106.189,0.09,1.646,0.608,0.9
468,,0.008,0.715,0.146,0.708,5.115,143.842,0.088,1.82,0.549,0.873
67,,0.008,0.665,0.147,2.7,2.246,8.881,0.088,1.746,0.573,0.894
83,,0.009,0.775,0.147,5.482,2.41,33.69,0.092,1.59,0.629,0.923
99,,0.008,0.706,0.147,2.151,2.446,123.69,0.085,1.889,0.529,0.852
382,,0.009,0.685,0.147,5.174,4.561,56.31,0.085,1.813,0.552,0.831
612,,0.008,0.693,0.147,5.06,6.962,56.31,0.09,1.647,0.607,0.888
16,,0.009,0.718,0.148,3.281,1.579,113.429,0.08,1.883,0.531,0.921
20,,0.012,0.771,0.148,2.964,1.679,100.62,0.125,1.161,0.861,0.914
138,,0.009,0.463,0.148,5.028,2.891,45,0.107,1.278,0.783,0.791
299,,0.004,0.343,0.148,4.684,3.808,107.879,0.059,2.409,0.415,0.717
445,,0.011,0.778,0.148,5.541,4.979,27.35,0.103,1.266,0.79,0.933
521,,0.007,0.54,0.148,7.838,5.65,139.97,0.078,1.917,0.522,0.825
558,,0.007,0.637,0.148,3.449,6.131,42.51,0.077,1.862,0.537,0.89
2,,0.012,0.682,0.149,3.467,0.413,12.339,0.118,1.215,0.823,0.897
126,,0.007,0.66,0.149,7.107,2.8,52.431,0.068,2.397,0.417,0.891
280,,0.008,0.693,0.15,2.01,3.69,14.036,0.077,1.929,0.518,0.902
289,,0.01,0.668,0.15,7.947,3.767,5.194,0.102,1.492,0.67,0.884
511,,0.008,0.704,0.15,6.939,5.559,5.194,0.076,1.951,0.513,0.9
1,,0.008,0.515,0.151,3.78,0.159,8.616,0.085,1.916,0.522,0.817
230,,0.008,0.557,0.151,8.105,3.354,171.384,0.082,2.032,0.492,0.833
407,,0.014,0.826,0.151,3.177,4.67,158.839,0.132,1.101,0.908,0.927
435,,0.01,0.733,0.151,4.969,4.842,131.348,0.101,1.386,0.722,0.867
443,,0.01,0.686,0.151,2.151,4.96,8.616,0.099,1.582,0.632,0.894
549,,0.009,0.726,0.151,2.782,5.963,133.781,0.076,2.014,0.496,0.908
563,,0.007,0.631,0.151,3.635,6.095,122.735,0.071,2.182,0.458,0.887
594,,0.01,0.644,0.151,7.157,6.544,164.291,0.096,1.732,0.577,0.873
207,,0.01,0.825,0.152,3.631,3.34,63.435,0.1,1.443,0.693,0.943
409,,0.01,0.75,0.152,3.476,4.765,26.565,0.105,1.369,0.73,0.906
506,,0.009,0.738,0.152,7.075,5.405,116.565,0.082,1.883,0.531,0.923
584,,0.011,0.727,0.152,3.776,6.499,51.072,0.099,1.648,0.607,0.878
428,,0.009,0.684,0.153,2.165,4.856,30.379,0.095,1.513,0.661,0.902
597,,0.007,0.495,0.153,6.036,6.535,112.751,0.075,1.843,0.543,0.818
615,,0.012,0.776,0.153,4.924,6.885,101.976,0.106,1.475,0.678,0.923
128,,0.008,0.603,0.154,4.484,2.7,114.305,0.074,2.078,0.481,0.874
283,,0.011,0.804,0.154,6.83,3.653,114.305,0.106,1.438,0.696,0.926
303,,0.011,0.617,0.154,7.72,3.971,76.373,0.112,1.455,0.687,0.845
460,,0.012,0.732,0.154,4.792,5.16,47.386,0.122,1.252,0.799,0.889
222,,0.009,0.713,0.155,2.841,3.29,127.875,0.084,1.871,0.534,0.912
411,,0.011,0.719,0.155,2.337,4.706,121.827,0.121,1.265,0.79,0.9
56,,0.011,0.784,0.156,3.29,2.165,35.538,0.101,1.533,0.652,0.923
61,,0.011,0.813,0.156,4.112,2.147,144.462,0.106,1.472,0.68,0.937
214,,0.008,0.69,0.156,3.154,3.227,98.366,0.081,1.924,0.52,0.891
500,,0.011,0.701,0.156,2.923,5.355,150.461,0.106,1.46,0.685,0.909
630,,0.014,0.825,0.156,4.543,7.27,144.462,0.132,1.124,0.89,0.937
634,,0.012,0.72,0.156,5.764,7.706,163.142,0.119,1.135,0.881,0.883
186,,0.008,0.316,0.157,8.042,3.145,10.008,0.082,2.203,0.454,0.801
476,,0.006,0.523,0.157,3.517,5.165,100.008,0.066,2.802,0.357,0.841
87,,0.008,0.622,0.158,4.543,2.46,39.174,0.075,2.187,0.457,0.884
159,,0.009,0.694,0.158,7.506,3.091,71.565,0.086,1.702,0.587,0.891
425,,0.007,0.608,0.158,4.252,4.788,152.7,0.074,2.264,0.442,0.869
530,,0.011,0.601,0.158,4.974,5.868,161.565,0.121,1.196,0.836,0.871
620,,0.012,0.701,0.158,4.96,7.084,18.435,0.115,1.391,0.719,0.899
183,,0.01,0.77,0.159,4.525,3.068,103.241,0.104,1.483,0.674,0.928
192,,0.01,0.685,0.159,2.469,3.19,23.629,0.1,1.477,0.677,0.865
456,,0.01,0.706,0.159,5.056,5.001,103.241,0.096,1.693,0.591,0.898
479,,0.009,0.484,0.159,4.67,5.255,23.629,0.082,1.866,0.536,0.889
543,,0.011,0.773,0.159,3.104,5.995,13.241,0.097,1.603,0.624,0.916
578,,0.011,0.787,0.159,5.137,6.381,23.629,0.095,1.547,0.646,0.923
608,,0.009,0.691,0.159,4.938,6.862,53.13,0.093,1.77,0.565,0.913
292,,0.007,0.603,0.16,1.475,3.744,145.408,0.066,2.582,0.387,0.87
636,Mean,0.011,0.629,0.16,4.615,4.123,90.615,0.102,1.627,0.662,0.848
313,,0.01,0.699,0.161,7.456,3.962,32.347,0.075,2.192,0.456,0.921
370,,0.012,0.72,0.161,7.443,4.466,57.653,0.11,1.512,0.661,0.922
446,,0.01,0.639,0.161,6.027,5.069,68.499,0.081,2.006,0.498,0.888
516,,0.011,0.706,0.161,3.481,5.569,132.709,0.104,1.5,0.666,0.91
359,,0.013,0.74,0.162,5.051,4.28,128.157,0.128,1.207,0.829,0.881
463,,0.01,0.736,0.162,3.218,5.174,38.157,0.09,1.786,0.56,0.921
15,,0.011,0.542,0.163,3.481,1.566,112.989,0.105,1.594,0.627,0.857
413,,0.011,0.758,0.163,3.041,4.747,167.125,0.086,1.964,0.509,0.938
531,,0.011,0.64,0.163,7.348,5.795,112.989,0.102,1.717,0.582,0.88
582,,0.012,0.744,0.163,4.139,6.508,77.125,0.106,1.611,0.621,0.902
528,,0.011,0.741,0.164,5.165,5.755,94.764,0.1,1.676,0.597,0.918
242,,0.01,0.584,0.165,7.089,3.522,52.815,0.084,1.853,0.54,0.881
550,,0.008,0.578,0.165,6.431,6.095,52.815,0.081,2.234,0.448,0.861
417,,0.013,0.792,0.166,6.517,4.797,11.004,0.107,1.574,0.635,0.937
449,,0.01,0.72,0.166,3.998,4.956,124.992,0.095,1.55,0.645,0.92
301,,0.008,0.572,0.167,2.723,3.962,57.171,0.087,2.209,0.453,0.889
325,,0.01,0.65,0.167,2.882,3.957,107.447,0.094,1.881,0.532,0.891
412,,0.01,0.19,0.167,6.762,4.711,150.642,0.126,1.27,0.787,0.662
397,,0.013,0.78,0.168,2.469,4.588,161.075,0.122,1.26,0.793,0.939
331,,0.009,0.6,0.171,3.209,4.03,154.799,0.083,2.274,0.44,0.856
353,,0.011,0.555,0.172,3.177,4.216,142.524,0.098,1.815,0.551,0.866
146,,0.013,0.664,0.173,5.342,2.927,29.932,0.124,1.451,0.689,0.884
312,,0.013,0.466,0.173,6.535,3.98,13.671,0.13,1.526,0.655,0.782
194,,0.012,0.585,0.174,5.187,3.277,74.876,0.109,1.379,0.725,0.853
625,,0.012,0.709,0.174,4.502,7.261,74.876,0.111,1.451,0.689,0.863
347,,0.013,0.619,0.175,3.34,4.302,53.427,0.099,1.835,0.545,0.865
599,,0.011,0.606,0.175,4.071,6.73,68.749,0.094,1.782,0.561,0.881
24,,0.009,0.416,0.177,5.854,1.793,131.878,0.081,2.316,0.432,0.742
151,,0.012,0.733,0.177,2.673,2.864,133.958,0.096,1.848,0.541,0.933
66,,0.012,0.658,0.178,7.688,2.296,52.253,0.104,1.635,0.612,0.889
88,,0.009,0.623,0.179,2.9,2.378,149.534,0.079,2.316,0.432,0.892
145,,0.009,0.328,0.18,5.165,2.954,47.045,0.108,2.065,0.484,0.617
386,,0.013,0.729,0.18,2.995,4.497,130.914,0.108,1.786,0.56,0.913
436,,0.015,0.575,0.18,4.375,4.879,137.045,0.129,1.246,0.803,0.86
455,,0.009,0.604,0.18,2.537,5.115,33.69,0.09,2.319,0.431,0.86
13,,0.008,0.503,0.181,5.024,1.452,112.068,0.075,2.436,0.41,0.797
429,,0.013,0.71,0.181,5.174,4.779,112.068,0.114,1.566,0.639,0.881
